"ID_DOL","ID_DOL_1","名称","住所","分類","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設","備考","カテゴリー","S_TKY2JGD","X","Y"
30200,30200,"会津川河川公園","田辺市湊1630先",9.00000000000e+000,"和歌山県","田辺市","湊1630先","","","終日","","","◎一般駐車場　有り：３台","","","","","","","","","その他",0,135.374937613,33.735907979
30201,30201,"かつらぎ公園","伊都郡かつらぎ町丁ノ町2530",9.00000000000e+000,"和歌山県","伊都郡かつらぎ町","丁ノ町2530","","","９：００～１７：００","地上１階","","","","","","","◎障害者（車椅子）用便所　有り：１箇所（公衆用トイレ内）","","","","その他",0,135.517238105,34.295432476
30202,30202,"ふれあい会館","伊都郡かつらぎ町志賀1341-3、他",9.00000000000e+000,"和歌山県","伊都郡かつらぎ町","志賀1341-3、他","0736-26-9010","0736-26-9010","営業時間内","地上２階","木曜日","◎一般駐車場　有り：６６台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：５箇所<br>◎手すり付便所　有り：１箇所","","","◎車椅子用トイレは１階にある","その他",0,135.503447731,34.221806722
30203,30203,"JAかつらぎ町本所総合ターミナル","伊都郡かつらぎ町大谷字大谷西出前1206-1",9.00000000000e+000,"和歌山県","伊都郡かつらぎ町","大谷字大谷西出前1206-1","0736-22-0550","0736-22-2870","8:30～17:00","地上２階","土・日曜日","◎一般駐車場　有り：６０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎１階（避難階）以外の階への一般の人の出入り　有り<br>◎一般エレベーター　有り：1400×1250（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：２箇所（1階2階共）<br>◎洋式大便所　有り：２箇所","","◎キャッシュコーナー　有り（時間外出入口が段差なし等）","◎駐車場は現在、未舗装です。","その他",0,135.493253097,34.292325736
30204,30204,"かつらぎ斎場","伊都郡かつらぎ町妙寺1471-17",9.00000000000e+000,"和歌山県","伊都郡かつらぎ町","妙寺1471-17","0736-22-6208","0736-22-6208","9:00～17:00","地上１階","なし","◎一般駐車場　有り：９０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（廊下横）<br>◎洋式大便所　有り：２箇所","◎難聴者用電話　有り","◎車椅子の常備　有り：２台（待合ホール）","◎障害者便所は休憩棟の廊下横の奥にあります。","その他",0,135.519317792,34.312184165
30205,30205,"喫茶軽食ゲストハウス","橋本市高野口町伏原８８０－１",9.00000000000e+000,"和歌山県","橋本市","高野口町伏原８８０－１","0736-44-2136","0736-44-2136","7:00～18:00","地上３階（店舗は１階）","","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台<br>◎大型バス　駐車可","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","◎車椅子用電話　有り：１箇所","","","その他",0,135.575966662,34.311149703
30206,30206,"高野山観光協会","伊都郡高野町高野山600",9.00000000000e+000,"和歌山県","伊都郡高野町","高野山600","0736-56-2616","0736-56-2889","8:30～16:30","地上２階","12/29～12/31","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","","","◎車椅子の常備　有り：４台","◎従業員による介護、観光情報の提供、車イスの無料貸し出し。<br>◎宿坊での宿泊、昼食の予約手配。","その他",0,135.586663573,34.213196467
30207,30207,"中の橋会館(西)","伊都郡高野町高野山４９-３",9.00000000000e+000,"和歌山県","伊都郡高野町","高野山４９-３","0736-56-3713","","9:00～17:00","地上２階","なし","","◎施設入口への車椅子利用：可","","","","椅子用便所なし","","","◎１、２階便所あり、車椅子用便所なし","その他",0,135.604634053,34.216307374
30208,30208,"中の橋会館(東)","伊都郡高野町高野山４９-３",9.00000000000e+000,"和歌山県","伊都郡高野町","高野山４９-３","0736-56-3713","","9:00～17:00","地上２階","なし","","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所","","","◎新中の橋会館<br>◎１階のみ車椅子用便所","その他",0,135.604634053,34.216307374
30209,30209,"城北公園地下駐車場","和歌山市西鍛冶屋町7",9.00000000000e+000,"和歌山県","和歌山市","西鍛冶屋町7","073-433-8141","","7:30～22:30","地下１階","1/1～1/3","◎一般駐車場　有り：１９６台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所（地下１階エレベーターホール前）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：３箇所","","","◎身障者用エレベーターで出入りできます。<br>◎身障者手帳を掲示すると、利用料金が５割引になります。","その他",0,135.170421571,34.234465828
